monthly mean,year,month,month,,40-year average 1967-2006,,monthly mean anomalies,5MRM Anaom-alies,,30-year average 1967-1996,35-year average 1967-2001
20.76,1994,2,Feb-94,,,,0.25,-0.33,,,
20.07,1994,3,Mar-94,,,,-0.31,-0.17,,,
18.89,1994,4,Apr-94,,,,-0.29,-0.33,,,
16.95,1994,5,May-94,,,,-0.46,-0.54,,,
14.82,1994,6,Jun-94,,,,-0.83,-0.55,,,
13.59,1994,7,Jul-94,,,,-0.79,-0.65,,,
13.61,1994,8,Aug-94,,,,-0.37,-0.82,,,
13.56,1994,9,Sep-94,,,,-0.82,-0.85,,,
13.99,1994,10,Oct-94,,,,-1.30,-0.69,,,
15.66,1994,11,Nov-94,,,,-0.97,-0.63,,,
18.20,1994,12,Dec-94,,,,0.01,-0.40,,,
19.73,1995,1,Jan-95,,,,-0.11,-0.06,,,
20.87,1995,2,Feb-95,,,,0.35,0.40,,,
20.77,1995,3,Mar-95,,,,0.40,0.61,,,
20.51,1995,4,Apr-95,,,,1.33,0.61,,,
18.50,1995,5,May-95,,,,1.09,0.44,,,
15.54,1995,6,Jun-95,,,,-0.10,0.21,,,
13.88,1995,7,Jul-95,,,,-0.51,-0.17,,,
13.20,1995,8,Aug-95,,,,-0.78,-0.50,,,
13.83,1995,9,Sep-95,,,,-0.55,-0.62,,,
14.71,1995,10,Oct-95,,,,-0.58,-0.43,,,
15.93,1995,11,Nov-95,,,,-0.70,-0.10,,,
18.64,1995,12,Dec-95,,,,0.46,0.17,,,
20.71,1996,1,Jan-96,,,,0.88,0.26,,,
21.29,1996,2,Feb-96,,,,0.77,0.44,,,
20.28,1996,3,Mar-96,,,,-0.09,0.37,,,
19.37,1996,4,Apr-96,,,,0.19,0.14,,,
17.53,1996,5,May-96,,,,0.11,-0.12,,,
15.37,1996,6,Jun-96,,,,-0.28,-0.14,,,
13.84,1996,7,Jul-96,,,,-0.55,-0.16,,,
13.77,1996,8,Aug-96,,,,-0.21,-0.16,,,
